ID,Dependancy,Quest,Territory,Type,Quest Acquisition Description,Level,DLC,Missable,Notes
217,,Scavenger Hunt: Wolf School Gear Upgrade Diagrams - Part 2,Kaer Morhen,Treasure Hunt,Purchase Hieronymus' Notes from Lindenvale blacksmith in Velen,21,Free DLC,N,Enhanced. Gear requires level 21.
218,210,Brothers In Arms: Nilfgaard,Vizima,Main,"Main Quest 40: After Va Fail, Elaine",22,Base Game,N,None. Quest can be completed but you will never gain any additional support from finishing this quest.
219,210,Brothers In Arms: Novigrad,Novigrad,Main,"Main Quest 41: After Va Fail, Elaine",22,Base Game,N,"Roche & Ves, Zoltan, Dijkstra, Triss"
220,210,Brothers In Arms: Skellige,Skellige,Main,"Main Quest 42: After Va Fail, Elaine",22,Base Game,N,"Crach, Folan, Vigi, Cerys, Ermion, Hjalmar"
221,210,Brothers In Arms: Velen,Velen,Main,"Main Quest 43: After Va Fail, Elaine",22,Base Game,N,"Keira Metz, Letho. (Letho not required for achievement ""Full Crew"")"
222,,Contract: The Mystery of the Byways Murder,Velen,Witcher Contract,Notice Board: Oreton,22,Base Game,N,
223,,In the Heart of the Woods,Skellige,Witcher Contract,Notice Board: Kaer Trolde Harbor,22,Base Game,N,
224,210,The Isle of Mists,The Isle of Mists,Main,"Main Quest 39: After Va Fail, Elaine",22,Base Game,N,
225,,Contract: Phantom of the Trade Route,Velen,Witcher Contract,"""Refugee"" in Benek",23,Base Game,N,
226,,Fists of Fury: Novigrad,Novigrad,Secondary,Notice Board: Hierarch Square,23,Base Game,N,
227,,Scavenger Hunt: Cat School Gear Upgrade Diagrams - Part 1,Novigrad,Treasure Hunt,"Purchase ""Adalbert Kermith's First Map"" from blacksmith of Blackbough",23,Base Game,N,Enhanced. Gear requires level 23.
228,,Scavenger Hunt: Cat School Gear Upgrade Diagrams - Part 2,Velen,Treasure Hunt,"Purchase ""Adalbert Kermith's Second Map"" from blacksmith of Blackbough",23,Base Game,N,Enhanced. Gear requires level 23.
229,,The Bastion,Kaer Morhen,Secondary,Old keep west of Kaer Morhen,23,Base Game,N,"Must have completed ""Magic Lamp"""
230,,Abandoned Sawmill,Skellige,Secondary,"The Abandoned Sawmill is located in the eastern part of Ard Skellig, in a large area covered by forests. To start this quest, approach the vicinity of the Abandoned Sawmill.",24,Base Game,N,
231,,Contract: Components For An Armorer,Velen,Witcher Contract,After Master Armorer. Given by Yoana - armourer's assistant at Crow's Perch. Also read notice board to get contract for that monster. WARNING: Do it before quests on isle of mists!,24,Base Game,N,
232,,Contract: Doors Slamming Shut,Novigrad,Witcher Contract,Notice Board: Hierarch Square,24,Base Game,N,
233,,Contract: The Griffin from the Highlands,Velen,Witcher Contract,Notice Board: Crow's Perch. Will not appear until after completing first objective of Master Armorers,24,Base Game,N,
234,,Finders Keepers,Skellige,Secondary,"Area known as Giant's Toes on shore in north east Ard Skellige (small island in the north-east, ship and pirates nearby)",24,Base Game,N,
235,,Master Armorers,Multiple,Secondary,"Fergus Graem, Dwarf blacksmith in Crow's Perch.",24,Base Game,N,Completing this quest unlocks Fergus as a master armorer.
236,,Of Swords and Dumplings,Novigrad,Secondary,"Hattori's dumpling kitchen. South Novigrad. NE of Portside Gate, NW of Glory Gate",24,Base Game,N,Unlocks Hattori as a master blacksmith after completion
237,,Practicum in Advanced Alchemy,Skellige,Secondary,"The druid Gremist, in the forest north of Druids' Camp and northwest of Redgill",24,Base Game,N,
238,,Shock Therapy,Skellige,Secondary,"Gedyneith tree, in the forest north of Druids' Camp",24,Base Game,N,
239,224,The Battle of Kaer Morhen,Kaer Morhen,Main,Main Quest 44: After The Isle of Mists,24,Base Game,N,
240,,Contract: Lord of the Wood,Novigrad,Witcher Contract,Notice Board: Farcorners. Between Portside Gate and Glory Gate,25,Base Game,N,
241,,Contract: The Beast of Honorton,Velen,Witcher Contract,Notice Board: Crow's Perch or Oreton.,25,Base Game,N,Related to free DLC Where the Cat and Wolf play
242,,Peace Disturbed,Skellige,Secondary,"Entrance to the crypt, north of ""Crossroads""",25,Base Game,N,
243,,Take What You Want,Velen,Secondary,"Given after ""Where the Cat and Wolf Play..."" if you choose to let the cat witcher go.",25,Free DLC,N,
244,,Where the Cat and Wolf Play...,Velen,Secondary,"During Contract: The Beast of Honorton. Investigate village full of necrophages between Claywich and Boatmaker's Hut. You might find this quest on the notice board in Oreton, Velen.",25,Free DLC,N,
245,7,Bald Mountain,Velen,Main,Main Quest 46: After Blood on the Battlefield,26,Base Game,N,
246,,Contract: The Oxenfurt Drunk,Novigrad,Witcher Contract,Notice Board: Oxenfurt,26,Base Game,N,
247,,High Stakes,Novigrad,Secondary,Notice Board: Hierarch Square. Involves playing Gwent - better get good card deck before starting,26,Base Game,N,
248,,Monster Slayer,Kaer Morhen,Secondary,Examine the corpse on the southeastern island of Kaer Morhen's large lake. Same location as Wolf trouser upgrade part 2.,26,Base Game,N,
249,,Scavenger Hunt: Griffin School Gear Upgrade Diagrams - Part 3,Skellige,Treasure Hunt,"Purchase ""Edwin Greloff's Third Map"" from the Midcopse blacksmith or Hierarch Square blacksmith",26,Base Game,N,Superior. Gear requires level 26.
250,,Taken as a lass,Skellige,Secondary,Bay south of Redgill. Fight with 2 pirates and talk to the warrior,26,Base Game,N,
251,,The Sad Tale of the Grossbart Brothers,Skellige,Secondary,"Djange Frett in Blandare village, east of Rannvaig",26,Base Game,N,
252,14,Through Time and Space,Multiple,Main,During Final Preparations,26,Base Game,N,
253,,Berenger's Blade,Kaer Morhen,Secondary,Under outer battlements south west Kaer Morhen. Appears only if you can talk to vesimir and have no schematics for Tor'haerne,27,Base Game,N,
254,,Greenhouse Effect,Kaer Morhen,Secondary,"East of the Irohn Mine fast travel point, south of Kaer Morhen. Come back to this location later to collect rare herbs.",27,Base Game,N,
255,,Contract: Missing Miners,Skellige,Witcher Contract,Notice Board: Blandare,27,Free DLC,N,
256,,A Plea Ignored,Velen,Treasure Hunt,"Southwest of Midcopse and Northwest of Byways, on the peninsula shaped like Italy",28,Base Game,N,
257,14,Battle Preparations,Skellige,Main,After Final Preparations,28,Base Game,N,
258,14,Blindingly Obvious,Novigrad,Main,During Final Preparations,28,Base Game,N,
259,,Contract: Dragon,Skellige,Witcher Contract,Notice Board: Fyresdal,28,Base Game,N,
260,14,Payback,Novigrad,Main,During Final Preparations,28,Base Game,N,
261,278,Skjall's Grave,Skellige,Main,After The Child of the Elder Blood. See note,28,Base Game,N,Must go with Ciri to Skjall's grave
262,14,The Great Escape,Multiple,Main,During Final Preparations,28,Base Game,N,
263,257,The Sunstone,Skellige,Main,During Battle Preparations,28,Base Game,N,
264,257,Veni Vidi Vigo,Skellige,Main,During Battle Preparations - related to Fringilla Vigo,28,Base Game,N,
265,,Contract: Missing Son,Skellige,Witcher Contract,Notice Board: Rannvaig,29,Base Game,N,
266,,Scavenger Hunt: Cat School Gear Upgrade Diagrams - Part 3,Velen,Treasure Hunt,"Purchase ""Adalbert Kermith's Third Map"" from the trader of Crow's Perch",29,Base Game,N,Superior. Gear requires level 29.
267,,Contract: Skellige's Most Wanted,Skellige,Witcher Contract,"Notice Board: Fyresdal. Alternatively, speak to a memer of the crowd of Skelligers in Fyresdal",29,Free DLC,N,
268,,Scavenger Hunt: Wolf School Gear Upgrade Diagrams - Part 3,Kaer Morhen,Treasure Hunt,"Purchase Hieronymus' Notes from blacksmith in Kaer Muire, Skellige",29,Free DLC,N,Superior. Gear requires level 29.
269,,Scavenger Hunt: Wolf School Gear Upgrade Diagrams - Part 4,Kaer Morhen,Treasure Hunt,"Purchase Hieronymus' Notes from armorer in Hierarch Square, Novigrad",29,Free DLC,N,Superior. Gear requires level 29.
270,,Reason of State,Novigrad,Secondary,After Blindingly Obvious,30,Base Game,Y,
271,,Fists of Fury: Skellige,Skellige,Secondary,Notice Board: Kaer Trolde Harbor,30,Base Game,N,
272,257,On Thin Ice,Skellige,Main,After Battle Preparations,30,Base Game,N,
273,,Scavenger Hunt: Bear School Gear Upgrade Diagrams - Part 3,Skellige,Treasure Hunt,"Purchase ""Ibrahim Savi's Third Map"" from the armorer at Kaer Trolde Fortress",30,Base Game,N,Superior. Gear requires level 30.
274,-1,"Something Ends, Something Begins",Multiple,Main,"Epilogue, after Tedd Deireadh, The Final Age",30,Base Game,N,The final quest!
275,272,"Tedd Deireadh, The Final Age",Skellige,Main,After On Thin Ice,30,Base Game,N,
276,,The Tower Outta Nowheres,Skellige,Secondary,"Overhear the fishermen arguing in the center of Urialla Harbor, An Skellig",30,Base Game,N,
277,,The Witchers' Forge,Kaer Morhen,Secondary,Search a chest on the ground level of the large spiral staircase room in Kaer Morhen.,30,Base Game,N,
278,263,Child Of The Elder Blood,Skellige,Main,Given during The Sunstone,31,Base Game,N,
279,,Hidden in the Depths,Skellige,Treasure Hunt,You can find a Hidden Treasure - find a corpse on the shore southwest of Larviken.,31,Base Game,N,
280,0,Evil's Soft First Touches,Novigrad,Main,Notice Board near Seven Cats Inn,32,Base Game,N,
281,,Dowry,Velen,Treasure Hunt,North of White Eagle Fort,32,Base Game,N,
282,,Avid Collector,Novigrad,Secondary,During Open Sesame!. Speak to the art dealer in the auction house with Vivaldi. Buy the painting on a bid and sell it to book salesman on Hierarch Square.,32,Hearts of Stone,N,
283,,Enchanting: Quality Has Its Price,Novigrad,Secondary,Starts after: Enchanting: Start-Up Costs,32,Hearts of Stone,N,
284,,Enchanting: Start-Up Costs,Novigrad,Secondary,When you check the notice board at the Seven Cats Inn - this initiates the DLC - you'll unlock this quest,32,Hearts of Stone,N,
285,,Races: Swift As The Western Winds,Novigrad,Secondary,Challenge the Ofieri Merchant at Upper Mill to a horse race,32,Hearts of Stone,N,
286,,Without A Trace,Novigrad,Secondary,Notice Board in Brunwich,32,Hearts of Stone,N,
287,,Contract: Missing Brother,Velen,Witcher Contract,Notice Board: Inn at the Crossroads,33,Base Game,N,
288,289,A Midnight Clear,Novigrad,Main,"During Dead Man's Party. until you're free of your possessor. This side quest will then unlock, so be sure to complete it before leaving the wedding.",33,Hearts of Stone,N,
289,280,Dead Man's Party,Novigrad,Main,After Evil's Soft First Touches,33,Hearts of Stone,N,
290,,From Ofieri's Distant Shores,Novigrad,Treasure Hunt,"Buy something from the Ofieri merchant, and he'll tell you of some legendary diagrams that were stolen from him, initiating the quest.",33,Hearts of Stone,N,
291,,Rose On A Red Field,Novigrad,Secondary,During Evil's Soft First Touches. Visit the Garin Estate to accept the contract (this is part of the story),33,Hearts of Stone,N,
292,,"Tinker, Hunter, Soldier, Spy",Novigrad,Treasure Hunt,Check the Undiscovered Location just east of the Isolated Hut - it's a wooden tower. Scale it and loot the corpse there.,33,Hearts of Stone,N,
293,,Scavenger Hunt: Bear School Gear Upgrade Diagrams - Part 4,Skellige,Treasure Hunt,"Purchase ""Ibrahim Savi's Fourth Map"" from the armorer at Kaer Trolde Fortress",34,Base Game,N,Mastercrafted. Gear requires level 34.
294,,Scavenger Hunt: Cat School Gear Upgrade Diagrams - Part 4,Skellige,Treasure Hunt,"Purchase ""Adalbert Kermith's Fourth Map"" from blacksmith of Lindenvale",34,Base Game,N,Mastercrafted. Gear requires level 34.
295,,Scavenger Hunt: Griffin School Gear Upgrade Diagrams - Part 4,Skellige,Treasure Hunt,"Purchase ""Edwin Greloff's Fourth Map"" from Eibhear Hattori after Of Swords and Dumplings",34,Base Game,N,Mastercrafted. Gear requires level 34.
296,,Scavenger Hunt: Wolf School Gear Upgrade Diagrams - Part 5,Novigrad,Treasure Hunt,Purchase Hieronymus' Notes from Hattori in Novigrad,34,Free DLC,N,Mastercrafted. Gear requires level 34.
297,,Scavenger Hunt: Wolf School Gear Upgrade Diagrams - Part 6,Skellige,Treasure Hunt,"Purchase Hieronymus' Notes from armorer in Kaer Trolde Fortress, Skellige",34,Free DLC,N,Mastercrafted. Gear requires level 34.
298,280,Open Sesame!,Novigrad,Main,After Evil's Soft First Touches,34,Hearts of Stone,N,
299,298,Open Sesame: Breaking and Entering,Novigrad,Main,During Open Sesame!,34,Hearts of Stone,N,
300,298,Open Sesame: The Safecracker,Novigrad,Main,During Open Sesame!,34,Hearts of Stone,N,
301,298,Open Sesame: Witcher Seasonings,Novigrad,Main,During Open Sesame!,34,Hearts of Stone,N,
302,142,"Envoys, Wineboys",Novigrad,Main,After A Poet Under Pressure,34,Blood and Wine,N,
303,,Contract: The Creature from Oxenfurt Forest,Novigrad,Witcher Contract,Notice Board: Oxenfurt,35,Base Game,N,
304,-99,Scenes From a Marriage,Novigrad,Main,After completing Open Sesame! and Dead Man's Party,35,Hearts of Stone,N,
305,302,The Beast of Toussaint,Toussaint,Main,"After Envoys, Wineboys",35,Blood and Wine,N,
306,,The Warble of a Smitten Knight,Toussaint,Secondary,During The Beast of Toussaint,35,Blood and Wine,N,
307,,Turn and Face the Strange,Toussaint,Secondary,"Southwest of The Gran'place, by the river. A child messenger will approach. Grants access to witcher mutations. ",35,Blood and Wine,N,
308,304,Whatsoever a Man Soweth...,Novigrad,Main,After Scenes from a Marriage,36,Hearts of Stone,N,
309,,The Cursed Chapel,Novigrad,Treasure Hunt,"Undiscovered Location directly north of the Upper Mill, by the Old Chapel. search for a corpse to find hidden treasure.",36,Hearts of Stone,N,
310,,The Royal Air Force,Novigrad,Treasure Hunt,"Northeast of the Temerian Partisan Hideout (and just north of Heddel) is an Undiscovered Location, called Vikk Watchtower with harpies flying around some ruins. Check by the entrance for a corpse",36,Hearts of Stone,N,
311,,"The Sword, Famine and Perfidy",Novigrad,Treasure Hunt,There's a new Undiscovered Location on the peninsula immediately north of Novigrad - it's a small hut guarded by some drowners.,36,Hearts of Stone,N,
312,305,Blood Run,Toussaint,Main,After The Beast of Toussaint,36,Blood and Wine,N,
313,,Fists of Fury: Toussaint,Toussaint,Secondary,Notice Board: The Gran'place,36,Blood and Wine,N,
314,,"Goodness, Gracious, Great Balls of Granite!",Toussaint,Secondary,Notice Board: The Gran'place,36,Blood and Wine,N,
315,,Paperchase,Toussaint,Secondary,Talk to the Vineyard Owner in the second courtyard to the south of The Gran'place marker.,36,Blood and Wine,N,
316,,Till Death Do You Part,Toussaint,Secondary,Notice Board: The Gran'place,36,Blood and Wine,N,
317,,Big Game Hunter,Toussaint,Witcher Contract,Notice Board: Cockatrice Inn,37,Blood and Wine,N,
318,,Don't Take Candy from a Stranger,Toussaint,Treasure Hunt,"At a cottage north of Castel Ravello Vineyard, at an intersection",37,Blood and Wine,N,
319,,Father Knows Worst,Toussaint,Secondary,Notice Board: The Gran'place,37,Blood and Wine,N,
320,,The Last Exploits of Selina's Gang,Toussaint,Treasure Hunt,"Go to the catacombs below the cemetery that is within Beauclair's walls. Kill the graverobbers, and a note will be on their corpse.",37,Blood and Wine,N,
321,,Wine Wars: Belgaard,Toussaint,Secondary,Notice Board: Cockatrice Inn,37,Blood and Wine,N,
322,,Wine Wars: Coronata,Toussaint,Secondary,After Wine Wars: Belgaard,37,Blood and Wine,N,
323,,Wine Wars: Vermentino,Toussaint,Secondary,After Wine Wars: Belgaard,37,Blood and Wine,N,
324,,Coin Doesn't Stink,Toussaint,Treasure Hunt,Hidden treasure on the bridge northwest of Dun Tynne Crossroads,37,Blood and Wine,N,
325,,A Surprise Inheritance,Novigrad,Treasure Hunt,"In the southeast pocket of the region is a pair of Undiscovered Locations: an Abandoned Site, and a Hidden Treasure. Check the latter to find a corpse near a ballista",38,Hearts of Stone,N,
326,,The Drakenborg Redemption,Novigrad,Treasure Hunt,Find the corpse in the arachnomorph cave north of Yantra,38,Hearts of Stone,N,
327,,The Secret Life of Count Romilly,Novigrad,Treasure Hunt,"In the southeastern corner of the region is an Undiscovered Location, a Hidden Treasure guarded by wolves and a leshen. Take them out and examine the corpse.",38,Hearts of Stone,N,
328,,"Gwent: To Everything - Turn, Turn, Tournament!",Toussaint,Secondary,Notice Board: Cockatrice Inn,38,Blood and Wine,N,
329,312,La Cage au Fou,Toussaint,Main,After Blood Run,39,Blood and Wine,N,
330,,A Knight's Tales,Toussaint,Secondary,Notice Board: Castel Ravello Vineyard,40,Blood and Wine,N,
331,,Master Master Master Master!,Toussaint,Secondary,Notice Board: The Gran'place,40,Blood and Wine,N,
332,,Scavenger Hunt: Grandmaster Feline Gear,Toussaint,Treasure Hunt,"Speak with Lazare Lafargue, the armorer northwest of the Metinna Gate",40,Blood and Wine,N,
333,,Scavenger Hunt: Grandmaster Griffin Gear,Toussaint,Treasure Hunt,"Speak with Lazare Lafargue, the armorer northwest of the Metinna Gate",40,Blood and Wine,N,
334,,Scavenger Hunt: Grandmaster Manticore Gear,Toussaint,Treasure Hunt,"Speak with Lazare Lafargue, the armorer northwest of the Metinna Gate",40,Blood and Wine,N,
335,,Scavenger Hunt: Grandmaster Ursine Gear,Toussaint,Treasure Hunt,"Speak with Lazare Lafargue, the armorer northwest of the Metinna Gate",40,Blood and Wine,N,
336,,Scavenger Hunt: Grandmaster Wolven Gear,Toussaint,Treasure Hunt,"Speak with Lazare Lafargue, the armorer northwest of the Metinna Gate",40,Blood and Wine,N,
337,,Vintner's Contract: Chuchote Cave,Toussaint,Secondary,"Chuchote Cave. On the road south of Castel Ravello Vineyard, or east of Fort Astre Ruins",40,Blood and Wine,N,
338,,The Words of the Prophets Are Written on Sarcophagi,Toussaint,Secondary,"During Scavenger Hunt: Grandmaster Manticore Gear. Or, back room of Lebioda's temple, near statue, behind aard wall.",40,Blood and Wine,N,
339,,Around the World in… Eight Days,Toussaint,Treasure Hunt,Hidden treasure east of Plegmund's Bridge,40,Blood and Wine,N,
340,,Spoontaneous Profits!,Toussaint,Treasure Hunt,"During La Cage au Fou, in the wight's lair. To the right of the entrance is a spoon key. Find and loot it.",42,Blood and Wine,N,
341,,The Hunger Game,Toussaint,Secondary,"Given automatically, but only if you lifted the curse from the wight during La Cage au Fou",42,Blood and Wine,N,
342,329,"Where Children Toil, Toys Waste Away",Toussaint,Main,After La Cage au Fou,42,Blood and Wine,N,
343,342,Wine is Sacred,Toussaint,Main,"After Where Children Toil, Toys Waste Away",42,Blood and Wine,N,
344,,A Portrait of the Witcher as an Old Man,Toussaint,Secondary,Painter in the square south of The Gran'place marker,43,Blood and Wine,N,
345,343,The Man from Cintra,Toussaint,Main,After Wine is Sacred,43,Blood and Wine,N,
346,,Vintner's Contract: Duchaton Crest,Toussaint,Secondary,At one of the location markers west of Beauclair Palace. There is a wine merchant standing near a cave entrance,43,Blood and Wine,N,
347,,Mutual of Beauclair's Wild Kingdom,Toussaint,Secondary,Notice Board: Cockatrice Inn,46,Blood and Wine,N,
348,,The Curse of Carnarvon,Toussaint,Treasure Hunt,South bank of the stream north of Castel Ravello Vineyard,46,Blood and Wine,N,
349,345,Capture the Castle,Toussaint,Main,After The Man from Cintra,47,Blood and Wine,N,
350,,The Suffering of Young Francois,Toussaint,Treasure Hunt,Immediately south of Fort Astre Ruins marker,47,Blood and Wine,N,
351,,The Toussaint Prison Experiment,Toussaint,Treasure Hunt,"Ruins south of Fort Astre Ruins, west of Lac Celavy",47,Blood and Wine,N,
352,349,The Night of Long Fangs,Toussaint,Main,After Capture the Castle,47,Blood and Wine,N,
353,352,Beyond Hill and Dale…,Toussaint,Main,"During The Night of Long Fangs, if you choose to find Syanna",47,Blood and Wine,N,
354,,"Duck, Duck, Goosed!",Toussaint,Secondary,"Syanna branch only. During Beyond Hill and Dale…, at the notice board near the tower. Next to girl who sells flint",47,Blood and Wine,N,
355,352,Blood Simple,Toussaint,Main ,"Unseen Branch, after The Night of Long Fangs",47,Blood and Wine,N,
356,355,What Lies Unseen,Toussaint,Main,Unseen Branch. After Blood Simple,47,Blood and Wine,N,
357,353,Tesham Mutna,Toussaint,Main ,Syanna branch. After Beyond Hill and Dale…,49,Blood and Wine,N,
358,-1,Be It Ever So Humble…,Toussaint,Main,The final main quest and the conclusion of Blood and Wine.,49,Blood and Wine,N,
